jobrequirements,bias,againstgroup
"Able to work across IT, Ops, Dev/Ops and Line of Business leaders",0,0000
You have experience leading cross-functional matrixed teams,0,0000
You effectively conduct quarterly business reviews with key customer and VMW leadership teams,0,0000
You have a strong command skills and experience presenting to and collaborating with C-suite,0,0000
Experience selling to NASA highly preferred,0,0000
"You have experience in Software, Cloud, or Infrastructure such as Compute, Network, Storage",0,0000
You have sold solutions in an enterprise level company,0,0000
We are a career based salon with potential for growth and advancement.,0,0000
Hourly wage with opportunity to earn achievable monthly bonuses.,0,0000
Supplemental Insurance,0,0000
Employee Discounts on services and products,0,0000
Mentoring & coaching,0,0000
Earned personal days,0,0000
Time off for major holidays,0,0000
"Franklin, TN 37064 (Required)",0,0000
Thursday (Preferred),0,0000
Capture sales from in-coming reservations calls and coordinate details of each reservation. Complete internal reservation forms,2,0011
"Run daily reports for department, operational departments, Sales & Marketing, General Manager, Department Head",0,0000
"Answer General Reservations e-mail, retrieve and distribute mail and process brochure requests.",0,0000
Handle guest complaints in accordance with Four Seasons policy.,0,0000
"Process WRO, Trust, Internal Reservations, and FIT reservations",0,0000
"Call to confirm and/or guarantee non-guaranteed reservations, clear waitlisted reservations.",2,0011
"Monitor Front Desk reservations made night prior, address any reoccurring issues",2,0001
"Process Employee Comp requests, handle Friends & Family requests with guidance from Department Head or Assistant Manager",0,0000
"Comply with Four Seasons standards for sales and marketing, while working harmoniously and professionally with co-workers and planning committee.",0,0000
Respond according to the crisis management plan to any resort emergency or safety situation.,0,0000
Work harmoniously and professionally with co-workers and supervisors.,0,0000
"Must be able to work all shifts including, AM's, PM's, weekends, and holidays.",0,0000
Must be able to analyze guest situations and make suggestions that meets and exceeds the,0,0000
Must be fluent in English.,0,0000
"Ability to analyze, prioritize, organize and follow up with a strong sense of urgency.",0,0000
"Excellent interpersonal and communication skills, both in person and by telephone.",2,0111
Strong working knowledge of computers including but not limited to windows and keyboard,0,0000
Skills and Ability to learn and master multiple software systems.,0,0000
Must be organized with the ability to handle multiple tasks.,0,0000
"Previous hotel experience in a Reservations, Front Office, Sales and Marketing is",0,0000
Continuous sitting for majority of the shift.,2,0010
"Prospect for new business, researching companies and individuals that meet criteria for a prospective partnership with Taboola",0,0000
Develop ideal customer profiles for outbound prospecting,0,0000
Qualify inbound inquiries,0,0000
Build & optimize outbound prospecting methods,0,0000
"Meet or exceed monthly goals to maximize deal flow with outbound emails, calls, and meetings",2,0011
Assist throughout the sale-cycle to close new deals,0,0000
retail management: 1 year (Preferred),0,0000
Retail Sales: 1 year (Required),0,0000
luxury management: 1 year (Preferred),0,0000
Bachelor's (Preferred),0,0000
United States (Required),0,0000
Innovative -- innovative and risk-taking,0,0000
Team-oriented -- cooperative and collaborative,0,0000
Work closely with business leaders and the HR Leadership Team to support deployment of a comprehensive HR Strategy,0,0000
"Mentor, develop and coach staff providing guidance, leadership, and coaching to achieve results that are in alignment with business objectives",0,0000
Safety/WC management,0,0000
Ensure consistent discipline practices and legal compliance,0,0000
Identify any compensation issues and recommend solutions,0,0000
PHR/SPHR Certification Preferred,0,0000
Cross functional HR knowledge,0,0000
Working Knowledge of Employment Laws,0,0000
Talent management practices,0,0000
Demonstrated knowledge of business and financial practices.,0,0000
Strong relationship building skills,0,0000
Ability to influence others,0,0000
Excellent Verbal and Written Communication skills,2,0011
Financial Management skills,0,0000
Strong organizational and prioritization skills,0,0000
Follows up on implemented solutions and identifies new opportunities that complement the work that was completed,0,0000
Advises team members and sales prior to customer calls and/or sales strategy sessions,2,0011
Shares best practices and effective territory planning approaches with peers to leverage successful approaches across the team,0,0000
Shares best practices and tactics for enhancing profitability and closing deals,0,0000
"Responds to questions about partner registrations, associated registration issues, and customer engagement history",0,0000
"Maintains pre-sales pipeline data, develops plans, and takes actions to move opportunities to closure",0,0000
Ten-year minimum technical pre-sales or technical architecting experience,0,0000
Demonstrated subject matter expertise in specific technology,0,0000
Proven project management skills,0,0000
Proficient in Microsoft office applications,0,0000
Proven success and experience selling technologies solutions and services,0,0000
Knowledge and proven success of engaging and working with sales teams,0,0000
Ability to execute on territory goals and metrics,0,0000
Ability to adapt and change to the business needs of the practice and team coverage model,0,0000
"Strong interpersonal and presentation skills, including consulting skills",2,0101
Strong oral and written communication skills,2,0011
Strong passion for learning and teaching others,0,0000
Motivated and self-starting,0,0000
Ability to think creatively and come up with proactive ideas that will increase sales,0,0000
Strong problem solving skills,0,0000
"Must be able to communicate effectively and in a constructive manner with management, peers and coworkers",0,0000
Obtain and maintain relevant industry standard certifications,0,0000
Experience in the Federal sales motion,0,0000
Experience/knowledge with DoD STIG policy/process,0,0000
Experience/knowledge with DoD DIACAP policy/process,0,0000
Experience/knowledge with certification & accreditation process as described in FISMA,0,0000
"Experience with DoD requirements and standards, inclusive of FIPS 140-2, NIST, etc.",0,0000
Experience working in a fast-paced work environment,2,0100
Formulate and manage an annual operating budget for every property in the managed portfolio.,0,0000
Track and analyze actual operations in relation to budget and report on at least a monthly basis.,0,0000
"Regularly visit all managed properties and ensure that GK quality control standards are met and, hopefully, exceeded.",0,0000
Ensure annual and interim HUD re-certifications are completed on schedule in compliance with all regulatory requirements.,0,0000
Demonstrate ability to deal with resident and vendor issues that rise beyond the scope of site staff.,0,0000
"Gather proposals, with assistance from site staff, and approve repair, operating and maintenance contracts.",0,0000
"Ensure consistent on site staff compliance with company policies, procedures and industry regulations (Fair Housing, OSHA, city ordinances, L&I, etc.)",0,0000
Performs other duties as assigned.,0,0000
Supervisory Experience,0,0000
Strong written and verbal communication skills,2,0011
Proficient in Onesite property management software,0,0000
Highly competent with Microsoft Office Suite,0,0000
Customer service oriented,0,0000
Experience with operating budgets and financial reporting,0,0000
"5+ years of progressive experience in multifamily property management, with substantial experience in affordable housing.",0,0000
CPO and/or COS required,0,0000
"Ability to interface with vendors, contractors and business partners.",0,0000
"Excellent verbal and oral communication skills to work internally with client team, managers and peers.",2,0011
"Ability to troubleshoot or escalate problems encountered during installing, testing or monitoring.",0,0000
Ability to exchange information and ideas pertinent to project.,0,0000
Ability to assist the Project Manager and act as liaison with customers.,0,0000
Minimum 1 year of landscape design experience,0,0000
Minimum 1 year of project management experience,0,0000
Minimum 1 year of estimating experience,0,0000
Sales intuition and motivation,0,0000
