,jobrequirements,bias,againstgroup
0,Tuition Reimbursement and 401k with matching,2,00011
1,"5-7 years of experience in revenue operations, and accounting",2,00011
2,Experience with finance/accounting systems,0,00000
3,"Proven track record of handling large complex datasets, while being detail oriented and maintain accuracy",2,00011
4,"Capacity to multi-task and prioritize effectively, thriving in high pressure environments",2,00011
5,Ability to step outside of an existing process and redefine it and the capability to put process in place where one is lacking,2,00011
6,Familiarity with revenue recognition and monthly close processes for a SaaS product,2,00011
7,"Located in or willing to relocate to Denver CO or New York, NY",0,00000
8,Designs metal plate connected wood roof/floor trusses and wall panels utilizing MiTek Sapphire software,2,00011
9,Optimizes designs for maximum efficiency,0,00000
10,Provides layouts and performs engineering using ability to understand blueprints and requirements for projects.,2,00011
11,"Reviews orders, layouts and data files for accuracy",2,00011
12,Resolves architectural and structural design conflicts; understands loading conditions.,2,00011
13,Ensures economical/proper use of materials per current inventory levels and material costs,2,00011
14,Monitors departmental output to ensure efficient resource utilization and initiates corrective action as required,2,00011
15,Demonstrates a strong knowledge of factory equipment to produce highly cost effective and production friendly designs.,2,00011
16,"Staffs, trains, develops and coaches design team, evaluates performance and initiates corrective action as required",2,00011
17,"Co-ordinates/assists with sales, estimating, production, engineering and architects to achieve customer schedules and cost objectives.",2,00011
18,Performs job site inspections and resolves customer service issues,2,00011
19,Performs other duties as required,0,00000
20,"Proficiency in the use of the English language in reading, writing and speaking",2,00011
21,Ability to read and understand blue prints,2,00011
22,"Ability to ""Get the job done"" regardless of industry, customer or organizational hurdles",0,00000
23,Proficiency in the use of MiTek and other design related software.,2,00011
24,Ability to successfully interact with all organizational levels and the public,2,00011
25,"Ability to communicate effectively with others, including customers, peers, and management",2,00011
26,Ability to multitask and manage several activities and projects at once,2,00011
27,"Ability to organize and prioritize work, prepare plans, meet deadlines, goals and budgets.",2,00011
28,"Ability to sit at a desk for prolonged periods of time, be mobile in the work environment, and work hours mandated by management",2,00011
29,Ability to pass a drug test,0,00000
30,"Forbes ""Best Employers for Diversity"" - 2019",0,00000
31,"National Business Inclusion Consortium ""Best-of-the-Best Corporations for Inclusion"" - 2019",0,00000
32,Work on Agile Scrum methodologies.,0,00000
33,Actively participate in QA and UAT activities before product releases,2,00011
34,"Provide End User training, run books, and documentation during roll-out",2,00011
35,Excellent communicator with a proven track record of stakeholder expectation management,0,00000
36,Experience working with cross organizational and cross functional team members,2,00011
37,Demonstrated ability to bring innovative and cost-effective business solutions,2,00011
