,jobrequirements,bias,againstgroup
0,Application Packaging;,0,00000
1,ITSM/ITIL Operations; and,2,00011
2,"Lead efforts to transform processes set up for Hardware or Software sales to support subscription services (SaaS, PaaS, IaaS).",0,00000
3,"Collaborate with cross-functional departments to define, plan and execute on a cloud transformation workstream.",2,00011
4,Experience driving customer facing and revenue generating change in the business,2,00011
5,"Expert problem solving and communication skills; must have the ability to present to, and effectively influence, senior leaders across organization",2,00011
6,15+ years of relevant experience with a Bachelor's degree or equivalent experience; MBA helpful but not a requirement,2,01000
7,"Background with infrastructure HW (e.g. servers, storage, networking) or SW (e.g. server virtualization, containers, software defined infrastructure)",0,00000
8,You will become an expert in the Dynamic Signal platform and services offering.,2,00011
9,You will build relationships and sell consultatively to VP and C-Level within Fortune 1000 accounts.,2,00011
10,You will drive complex transactions involving multiple executive level budget holders and decision makers to closure.,2,00011
11,Develop a strong understanding of key differentiators and the competitive landscape.,2,00011
12,Act as a leader in our team selling environment. Enterprise Sales is a team sport and each team needs a leader!,2,00011
13,"Manage pipeline, sales activity and ability to accurately forecast.",2,00011
14,"7+ years selling SaaS to Human Resources, Marketing and/or IT in large enterprises.",2,00011
15,Demonstrated sales record of obtaining / exceeding quota.,0,00000
16,Skilled in conducting presentations to executive level audiences.,2,00101
17,Experience in navigating and managing the technical and legal phase of each sales cycle and the political nuances of large organizations.,2,00011
18,Experience as a leader in a team selling environment in pursuit of high value transactions.,0,00000
19,Adhering to a measured sales process.,0,00000
20,"Success prospecting, engaging, acquiring enterprise level customers.",0,00000
21,"Strong interpersonal skills, ability to convey and relate ideas to others.",2,00111
22,Ability to learn and adapt quickly.,2,00011
23,Positive and energetic attitude with a willingness to perform and get things done.,2,00011
24,"A competitive compensation package including salary, commission and equity will be granted to the successful candidate.",2,00011
25,Catered lunches 4 days a week (the 5th day is reserved for team fun),0,00000
26,Unlimited drinks and snacks,2,00011
27,"Competitive Medical, Dental & Vision coverage",2,00001
28,Unlimited vacation time,0,00000
29,A thoughtful leadership team that has done this before with great success,0,00000
30,A playful and diverse team eager to meet you,2,00011
31,A new MacBook Pro when you start,0,00000
32,Understand and translate statistics to address client business problems,2,00011
33,Structure business problems and design solution,2,00011
34,Leverage technology to enhance the competitive position of clients by identifying appropriate solutions and/or products and designs,2,00011
35,Effectively provide consultancy to clients on various aspects of their business using data analytics,0,00000
36,"Be a thought leader in the focus area, go to person for internal teams",0,00000
37,Actively focus on opportunities to grow the client along with the senior Engagement Managers. Support the sales team when required for RFPs/ pitches,0,00000
38,4+ years of professional work experience in the field of business intelligence and/or Advanced Analytics,2,00011
39,"Excellent analytical and problem-solving skills, including the ability to identify root causes and recommend solutions",2,00011
40,"Adept in forecasting, regression analysis and segmentation work",2,00011
41,Industry experience in Financial Services/Telecom/Retail/ Computer Software a plus,0,00000
42,"Statistical programming software experience in SAS, R or equivalent. Strong SQL skills are required",0,00000
43,Excellent written and verbal communication skills & strong interpersonal skills,2,00111
44,"Ability to interact in a fluid, demanding and unstructured environment where priorities evolve constantly and methodologies are regularly challenged",2,00011
45,3 - 8 years of firmware and embedded software programming experience.,2,00011
46,"Demonstrable skills in writing firmware for ARM processors such as STM32, MicroChip, XScale, or FreeScale NXP",2,00011
47,Ability to occasionally travel (domestic and international).,2,00011
48,"Working knowledge of Agile and Scrum principles, OOP, and scripting languages including Java, Python, and Perl",2,00011
49,Ability to work in a fast-paced environment independently and on a highly collaborative team,2,00011
50,"Demonstrated proficiency with C, C++, and C#",2,00011
51,5+ years of experience in web application development and architecture.,2,00011
52,Extensive experience using open source software libraries,0,00000
53,Strong experience in at least one MVC architecture or application of the pattern,0,00000
54,Solid hands on experience with Javascript and knowledge of modern frameworks and libraries (We use AngularJS for this team),2,00011
55,Experience in an agile (Scrum) development process,0,00000
56,Bachelors degree in Computer Science or other relevant technical degree or equivalent experience preferred,0,00000
57,"Become familiar with the code base, development processes, and deployments.",2,00011
58,Become familiar with the product as customers will use it.,0,00000
59,You may even have your first PR approved and in production.,2,00011
60,Become a contributor to the overall code base.,0,00000
61,Have PRs approved and deployed to production,2,00011
62,Contribute to design,0,00000
63,Working more autonomously and closer with product,2,00011
64,Helping troubleshoot issues,0,00000
65,Contribute new ideas to the product and development,2,00011
66,Become a team leader,0,00000
67,A goto person for Javascript at Xactly.,0,00000
68,Mentor other developers,0,00000
69,Develop and execute strategic plan to realize full market share potential through mastery of e-commerce fundamentals and brand optimization.,2,00011
70,"Partner with product and marketing teams on: product assortment, pricing, online content, marketing, advertising and promotions.",2,00011
71,Experience managing Online / E-commerce business required,0,00000
72,Consumer Packaged Goods (CPG) or Durable Goods experience strongly preferred,0,00000
