jobrequirements,bias,againstgroup
Ability to write User stories and technical documentations,2,0011
Excellent knowledge of both the written and verbal English language,2,0011
Excellent oral and written communication skills,2,0011
Strong analytical and processing skills,0,0000
Team-oriented personality,0,0000
Proven ability to influence and negotiate internally and with customers/ partners,0,0000
Research internal and external markets for the kitchen equipment,0,0000
Build and develop relationships with international customers,0,0000
Take part in tenders and carry out negotiations for signing new agreements,0,0000
Implement the import and sales of the kitchen equipment,0,0000
Represent the variety of products to the client and implement projects,0,0000
Deal with customers,0,0000
Consult about the design and measurement,0,0000
"Higher education, preferably in a technical field",0,0000
At least 3 years of experience in dealing with kitchen equipment,0,0000
"Experience in import, logistics, sales and marketing will be an advantage",0,0000
High level of intellect,0,0000
Professional knowledge of the kitchen equipment,0,0000
Experience in attracting customers,0,0000
Experience in carrying out negotiations,0,0000
Computer proficiency,0,0000
Implement market research,0,0000
Plan the promotion and marketing strategy,0,0000
"Prepare advertising materials, order and post them, give solutions to the issues concerning product catalogues, visit cards, brand presentations",2,0101
"Coordinate the work for the website, banners and continuous update of news",0,0000
"Plan, develop and implement PR strategies",0,0000
"Organize events including press conferences, exhibitions, open days and press tours",0,0000
Manage and update information and engage users in the social media sites,0,0000
Maintain and update information on the organization's website,0,0000
Provide leverage for the existing media relationships and establish new contacts within the business and industry media,0,0000
"Evaluate opportunities for partnerships, sponsorships and advertising on an on-going basis",0,0000
At least 3 years of experience in marketing,0,0000
Higher education (Master's degree will be an advantage),2,1000
"Excellent knowledge of the Russian, English and Armenian languages",0,0000
Computer proficiency,0,0000
Purposeful and organized person,0,0000
Ability to communicate and carry out negotiations effectively,0,0000
Ability to work with clients,0,0000
Communication and analytical thinking skills,2,0011
High sense of responsibility,0,0000
"Dedication to the ideas of open, democratic and tolerant society and transparent and accountable government",0,0000
Strong interest and relevant experience in the field of education policies,0,0000
Adequate knowledge of the current education field and reforms underway in Armenia,0,0000
"Master's degree, preferably in Social Sciences",2,1000
At least 7 years of experience in an international organization working in the education or a relevant field,0,0000
Good working knowledge and understanding of the policy context with policy analysis and writing skills,2,0011
Strong organizational skills and ability to work independently,0,0000
Discretion and ability to handle confidential issues,0,0000
Self-motivation with an ability to set and meet goals,0,0000
Ability to work under pressure and willingness to work long hours,0,0000
Strong communication and interpersonal skills,2,0111
Capacity and willingness to study new areas and develop new skills,0,0000
Fluency in the English and Armenian languages,0,0000
Participate in the software architecture,0,0000
"Responsible for the software design, development and implementation",0,0000
Responsible for the software maintenance,0,0000
Participate in the development of required specifications/ technical tasks,0,0000
