,jobrequirements,bias,againstgroup
0,Provide general Project Management oversight in all phases of construction,0,00000
1,Provide leadership to logistical plans and project scheduling,2,00011
2,Provide overall accountability for successful delivery of multiple projects and\or a major project(s),2,00011
3,"Provide oversight, leadership and be accountable for the development and maintenance of the master project schedule",2,00011
4,Work with Senior Project Management staff and Clients to ensure the Clients expectations are regularly being met and monitor Owner satisfaction,2,00011
5,Responsible for future business growth within current client base. Accountable for growth in Wanzek work among current clients.,0,00000
6,"Attend pre bid conferences, act as primary point of contact to outside contacts.",0,00000
7,Promote Wanzek and the Client through community involvement and activities.,2,00011
8,Effectively utilize available corporate resources and internal support teams at key points in the project,2,00011
9,"Assess, review, and monitor lower level management in regards to their job performance",2,00011
10,Procedural and Process Issues,2,00011
11,Financial Issues and reporting processes,2,00011
12,Current months project reviews,0,00000
13,Manpower quantitative and qualitative analysis,2,00011
14,Liability or legal issues,0,00000
15,"Owner, Architect, Subcontractor relationship issues",0,00000
16,Update operations goals and review individual action items,2,00011
17,"Produce sales gains, by providing customer service.",0,00000
18,Meet or Exceed Company Objectives in all measurable areas of the business.,0,00000
19,"Adhere to current visual guidelines including proper merchandising, signage and store cleanliness.",2,00011
20,"Maintain strong product knowledge for use in selling, merchandising, and giving feedback as requested.",2,00011
21,Ensure that all associates maintain a professional appearance consistent with company dress code policy.,0,00000
22,Protect Company assets within guidelines of LIDS Retail policies.,0,00000
23,"Prepare store schedules and provide for proper store coverage at all times, within the guidelines for wage control set by the company.",2,00011
24,"Follow all policies to accurately manage store inventory including receiving, transferring, completing price changes and conducting product counts.",2,00011
25,"Perform proper documentation and record keeping per LIDS Retail policies, complying with all state and federal laws.",2,00011
26,Open and close the store as required following the procedures per the Operations P&P Manual.,2,00011
27,"Manage store associates through thorough use of LIDS Training Programs, goal setting (for sales and tasks), and regular follow up.",2,00011
28,"Recruit, develop, and train store personnel to achieve Operations Objectives as well as adhere to Operational policies and guidelines.",2,00011
29,"Performs work of subordinates, as needed.",0,00000
30,Communicate with employees at all levels of the company.,0,00000
31,Other duties as assigned.,0,00000
32,"Established ability to produce sales results, while minimizing loss.",0,00000
33,"Proven supervisory skills, with capacity to deliver training material and assess retention.",2,00011
34,Strong interpersonal skills and the ability to communicate verbally in a clear and professional manner.,2,00111
35,"Ability to operate a computer, as well as maneuver relative software programs.",0,00000
36,Ability to lift up to 50 pounds.,2,00010
37,Ability to climb a ladder and work with hands overhead.,2,00011
38,Standing required for up to 100% of the work time.,2,00010
39,Ability to work unsupervised.,0,00000
40,Ability and willingness to travel overnight for training and/or business meetings.,2,00011
41,"Demonstrated cold calling sales ability, with assertive, positive and persistent style",2,00011
42,"Excellent verbal and written communication skills, including with C-level executives",2,00011
43,Motivated self-starter with effective time management skills,2,00011
44,"Ability to work independently, as well as being a collaborative team member",0,00000
45,"Experience with business-to-business sales, particularly at the executive level",0,00000
46,Guide CSO Strategic Planning and Change Management:,2,00011
47,Drive Customer and Operational Insights and Analytics:,2,00011
48,Define and Optimize the Customer Lifecycle:,2,00011
49,Implement an early warning system:,0,00000
50,Enhance Effectiveness and Efficiency Through Technology:,2,00011
51,Build and Lead Customer Success Operations Team:,2,00011
52,Customer Success Across Qlik,0,00000
53,"Strong understanding of all facets of Customer Success: Implementation, Professional Services, Success, Technical Support, and Training",2,00011
54,"Proven experience across multiple operations models: onshore, offshore and outsourced;",2,00011
55,"Enthusiastic and creative leader with a proven track record in attracting talent, and building and motivating teams",2,00011
56,"Ability to drive change management; guide the team with confidence and empathy through a fast-paced, changing environment",2,00011
57,"Flexibility, and ability to adjust on the fly, to new demands; a high sense of urgency; excels under pressure.",2,00011
58,"Have been part of, or preferably led, a key transformation",0,00000
59,Bachelor degree or equivalent experience mandatory; Masters preferred,0,00000
60,Have proven ability to drive true value for customers,0,00000
61,Have demonstrated desire for continuous learning and improvement,2,00011
62,Have a passion for delivering a superior Customer experience,0,00000
63,Conducts tours for prospective patients and ensures New Patient paperwork is completed and in chart.,2,00011
64,Works with PCPs to assist with scheduling meetings with patients and/or writing letters to/for patients.,2,00011
65,Reviews reports to ensure target metrics are achieved and processes are being followed.,2,00011
66,Ensures co-pays are compliantly collected and cash is reconciled and deposited.,2,00011
67,Monitors transportation and housekeeping activities.,2,00011
68,"Monitors and/or alters team member work schedules, including approval of overtime or vacations.",2,00111
69,Collaborates with the Leadership Team and Administrators in relation to strategic business planning.,2,00011
70,"Drives Results: Consistently achieves results, even under tough circumstances.",0,00000
71,Builds Effective Teams: Building strong identity teams that apply their diverse skills and perspectives to achieve common goals.,2,00011
72,Situational Adaptability: Effectively building formal and informal relationship networks inside and outside the organization.,2,00011
73,Customer Focus: Building strong customer-centric relationships and delivering customer-centric solutions.,2,00011
74,Demonstrates Self-awareness: Using a combination of feedback and reflection to gain productive insight into personal strengths and weaknesses.,2,00011
75,Business Insight: Applying knowledge of business and the marketplace to advance the organization's goals.,2,00011
76,Financial Acumen: Interpreting and applying understanding of key financial indicators to make better business decisions.,2,00011
77,"The experience, skills and abilities commensurate with managing an entity that exceeds $25M in revenue.",2,00011
78,Strong track record of taking on new assignments and quickly mastering new ways of accomplishing goals.,2,00011
79,"Exceptional written, verbal and interpersonal communication skills.",2,00111
80,"Ability to effectively communicate with employees, patients and other individuals in a professional and courteous manner.",2,00011
81,Exceptionally detail-oriented with a high degree of objectivity and analytical skills to ensure accuracy of reports and data.,2,00011
82,Ability to manage multiple projects and processes and work effectively with other team members.,2,00011
83,"Ability and willingness to travel locally, regionally and nationwide up to 20% of the time.",2,00011
84,Spoken and written fluency in English.,2,00011
85,This position requires use and exercise of independent judgment.,2,00011
86,FOR EXTERNAL CANDIDATES,0,00000
87,healthcare or hospitality: 7 years (Preferred),0,00000
88,progressive supervisory/managerial: 5 years (Preferred),0,00000
89,P&L Responsibility: 4 years (Preferred),0,00000
90,Income Statement Management: 3 years (Preferred),0,00000
91,Medical Practice Management: 7 years (Preferred),0,00000
92,Bachelor's (Required),2,01000
93,Lead project teams to develop cost of service studies and rate studies,2,00011
94,Serve as a municipal advisor to issue short and long term debt,2,00011
95,Analyze utility financial and operational data,2,00011
96,Present findings and recommendations at public presentations,2,00111
97,Oversee and manage staff on projects,2,00011
98,Series 50 license (preferred),0,00000
99,Knowledge of utility accounting and experience in GAAP,2,00011
100,Understanding of utility regulatory matters,0,00000
101,"Experience with municipal finance software including DBC, TM3 and Bloomberg",2,00011
102,"Ability to interact with clients, prospects, all levels of staff, and colleagues in a professional fashion",2,00011
103,Support business development opportunities through sales presentations and proposals,2,00111
104,Experience leading project teams,0,00000
105,Approximately 30% travel will be a part of this role,2,00010
106,"Advising on marketing and advertising best practices and emerging digital marketing, social media, technology, and landscape trends",2,00011
107,Recommending innovative tools and approaches to drive customer behavior,2,00011
108,"Developing new campaigns based on industry trends, project success, and customer feedback",2,00011
109,Driving integrated teams to become more agile and customer driven,2,00011
110,Recommending traditional and emerging communication channels based on objectives,2,00011
111,Providing social media insight and trend analysis to leverage new tools and optimize campaigns,2,00011
112,Strategy and Execution,2,00011
113,"Developing and executing marketing strategies, informed by research, to meet agency objectives and customer needs",2,00011
114,Increasing awareness and use of specific products and services to drive audience engagement and revenue growth,2,00011
115,"Expanding digital presence on the web and social media (e.g., LinkedIn, Twitter, YouTube, blogs, etc.)",2,00011
116,Establishing an integrated website/SEO strategy and marketing automation strategy,2,00011
117,Implementing channel marketing strategies and tactics supported by data,2,00011
118,"Identifying creative use of various storytelling devices (e.g., podcast, blog, video series)",0,00000
119,Performance Reporting,0,00000
120,Demonstrating return on investment (ROI) and marketing performance through analysis and creation of compelling presentations,2,00111
