jobrequirements,bias,againstgroup
Ensures effective utilization and maintenance of CRM system,0,0000
"Availability for evening, weekend and holiday work is required.",0,0000
Maintains strict confidentiality in all departmental and company matters.,0,0000
Oversee the Marquee Rewards Programming,0,0000
Property representative at internal and external functions.,0,0000
Serves as point person in the resolution of customer complaints and service recoveries.,0,0000
"Sales, Project Management, and Billing",0,0000
Attention to detail is a must,2,1000
Knowledge of Intuit Quickbooks or similar software,0,0000
Ability to use estimation software and design software,0,0000
Excellent communication skills are required,2,0011
Desire to advance the position,0,0000
Must have a means of commute,0,0000
Organized and efficient,0,0000
Passion for the industry,0,0000
Health insurance (Including Vision and Dental),2,0001
401k (after one (1) year of employment) with full match up to 4%,0,0000
7 Personal Days for the first year,0,0000
Company cell phone or cell phone stipend,2,0001
A gas stipend will be provided,0,0000
A relaxed and casual working environment,0,0000
Sales: 4 years (Preferred),0,0000
Customer Service: 4 years (Preferred),0,0000
Lighting/Interior/Treatments Design: 4 years (Preferred),0,0000
Project Management: 4 years (Preferred),0,0000
High school or equivalent (Preferred),0,0000
Professional development assistance,0,0000
In depth knowledge of Private Training techniques from assessment to program design.,0,0000
Possess a working knowledge of the dotFIT program and software.,0,0000
Must be able to adjust and operate all Fitness Equipment.,0,0000
"Knowledge of company policies, practices and procedures, including emergency and safety procedures.",0,0000
Strong interpersonal and communication skills.,2,0111
"Able to generate, maintain and demonstrate a friendly, enthusiastic and positive attitude.",0,0000
"Possess a strong customer service focus. Responds professionally to requests and inquiries from guests, members and staff.",0,0000
Understands and follow oral and written instructions.,2,0011
Communicates clearly and concisely.,0,0000
"Experience operating office equipment such as computers, calculators, fax and photocopiers.",0,0000
Must be computer proficient with basic skills in Word and Excel.,0,0000
"Ability to work, setup and execute successful weekends",0,0000
Extroverted/Self motivator/Customer service minded,0,0000
"Promotional Money (PM). Money that is paid to you, above and beyond your base salary as an additional incentive on certain products.",0,0000
"The ability for you to generate sales, not only for the benefit to the company and your store, but for you and your financial well-being.",0,0000
The drive to achieve and exceed personal sales and productivity goals,0,0000
"Display an awareness of all store communications including: product information, advertising, promotions and other marketing initiatives",2,0011
"Boost product knowledge by learning the features, advantages and benefits. Staying on top of nutritional, wellness trends",0,0000
High school diploma or GED preferred,0,0000
Include Intentionally,0,0000
- Cultivates diverse teams and inclusive workplaces to expand thinking.,0,0000
- Role models our values with transparency and courage.,0,0000
- Takes action to drive change and innovation that will transform our business.,0,0000
- Takes personal ownership to deliver results. Empowers and trusts others in decision making.,0,0000
- Raises the bar with every talent decision and guides the achievement of all employees and customers.,0,0000
"A minimum of 2 years of outbound sales experience, preferably within the retail industry",0,0000
"Oversees the SKU Schema, including Divisions and Classes through tools such as the SKU Builder.",0,0000
