,jobrequirements,bias,againstgroup
0,Must be a strong problem solver,0,00000
1,Excellent verbal and written communication skills,2,00011
2,Knowledge of Visio and experience creating architecture diagrams,2,00011
3,Must be willing to document work effort on an ongoing basis,0,00000
4,Must be willing to learn how to setup Ziosk systems with many different types of POS (Point of Sale) systems,0,00000
5,Linux knowledge is not required but is a plus,0,00000
6,Knowledge of Docker or other technologies is a plus,0,00000
7,Familiarity with Payment Card Industry standards a plus,0,00000
8,"Coordinates all tradeshows and wet labs including national, state, local conferences and sales meetings.",2,00011
9,Creates and maintains working relationships with directors and coordinators of associations that conduct trade shows attended by Heska.,2,00011
10,"Organizes tradeshow records, documents, schedules and deadlines via various systems, including Salesforce.com.",2,00011
11,"Maintains an ongoing, calendar (generated through Salesforce.com) for all meetings, available to sales and marketing teams.",2,00011
12,"Working closely with accounting, completes registration, payment, and booth placement for Heska attended events.",2,00011
13,"Coordinates with Sales Management to determine booth attendees, booth activities and focus.",2,00011
14,Coordinates with Sales and Product Managers to assure the appropriate instruments are shipped.,2,00011
15,Secures hotels based on conference install/dismantle times and flight information.,2,00011
16,"Communicates with the booth attendees about show details, booth activities, additional exposures and expectations via Salesforce.",2,00011
17,Imports conference leads and communicating the leads to the appropriate owner in Salesforce.com.,2,00011
18,Coordinates with Imaging to assure that Acquisition workstations QC process and repairs are completed in a timely manner.,2,00011
19,Coordinates with Product Managers and EVP for Digital Imaging to ensure that all products are up to date prior to conferences.,2,00011
20,"Provides remote support for on-site attendees, in conjunction with the Trade Show Logistics Coordinator.",0,00000
21,Creates and manages Trade Show Campaigns for all tradeshows and events.,2,00011
22,Generates and reports core report on bi-monthly basis.,2,00011
23,Imports all tradeshow leads into Salesforce and assigns/communicates them to the appropriate owner.,2,00011
24,Records all conference information and communications via calendar events and tasks with sales team.,2,00011
25,Records clinic competitive demographic information received from tradeshows.,0,00000
26,Proven time management skills and ability to work in fast paced environment with demanding deadlines and changing priorities.,2,00011
27,Consistently displays strong attention-to-detail.,0,00000
28,Proven ability to self-start and multi-task.,2,00011
29,Ability to work both independently and in a team environment with professionals at all levels of the company.,2,00011
30,"Excellent internal and external customer service skills, professionalism and approachability.",2,00011
31,"Intermediate ability with Microsoft Office Suite and Internet software. Familiar with CRM software, Salesforce.com preferred",2,00011
32,Veterinary Industry experience preferred.,0,00000
33,"Ability to read and comprehend simple instructions, short correspondence, and memos.",2,00011
34,"Ability to effectively present information in one-on-one and small group situations to customers, clients, and other employees of the organization.",2,00011
35,"Ability to add, subtract, multiply, and divide in all units of measure, using whole numbers, common fractions, and decimals.",2,00011
36,Typical office environment.,0,00000
37,The noise level in the work environment is usually moderate.,0,00000
38,Some overnight travel may be required.,2,00010
39,"Medical, Dental and Vision Insurance Plans",2,00011
40,Accrued vacation and sick time,2,00011
41,Holidays & Bonus hours,0,00000
42,Life/Accidental Death and Dismemberment Insurance,2,00011
43,Short Term and Long Term Disability Plans,2,00011
44,Employee Assistance Program,0,00000
45,Employee Stock Purchase Plan,0,00000
46,Flexible Spending Accounts,0,00000
