,jobrequirements,bias,againstgroup
0,"With Dynamics 365 Customer Engagement capabilities in mind, document all solution requirements.",0,00000
1,Assess data and develop plans for data migration.,2,00011
2,Document functional specifications.,0,00000
3,Fully configure Dynamics 365 Customer Engagement to meet client needs. Coding is not a requirement for this role.,0,00000
4,Develop and execute test plans and test scripts prioritizing and managing issues to resolution.,2,00011
5,"Develop training plans, materials and solution documentation. Execute training as needed.",2,00011
6,Develop detailed project plans.,0,00000
7,Develop robust project charters.,0,00000
8,Develop project kick-off presentations.,2,00101
9,Issue weekly status reports and conduct weekly meetings.,2,00011
10,Maintain and communicate resource forecasts.,2,00011
11,"Maintain, communicate and escalate project issues and risks.",2,00011
12,Manage project change requests.,0,00000
13,Manage internal and client deliverable reviews.,2,00011
14,Manage activities of project team members and client participants.,2,00011
15,Manage day to day relationships with the client and all stakeholders.,2,00011
16,Minimum of 5 years of experience delivering information technology solutions.,0,00000
17,Minimum of 3 years of experience delivering Microsoft CRM solutions with deep hands on experience configuring solutions to meet specifications.,0,00000
18,"The successful candidate will have relevant analysis, design, develop, test, and deploy implementation experience in CRM Sales Productivity.",2,00011
19,Project management experience that includes scoping and executing mid-sized projects assuming full accountability for project success.,2,00011
20,Minimum of 2 years consulting experience (external) with demonstrated ability to develop trusted relationships with mid-level clients.,0,00000
21,Experience working with Microsft's Power Platform and SharePoint Online are plusses.,2,00011
22,Excellent written and verbal communication skills.,2,00011
23,Good presence in front of clients.,0,00000
24,Solid organizational skills including attention to detail and productively contributing to multiple concurrent assignments.,2,01011
25,Strong working knowledge of Microsoft Project and overall Microsoft Office productivity suite.,2,00011
26,Annual bonus program,0,00000
27,"Comprehensive insurance benefits: health, dental, vision, life, short and long term disability, flexible spending accounts",2,00011
28,Focus on high quality results and satisfied clients,2,00011
29,Highly collaborative and team based work environment,2,00011
30,"Supportive, smart and driven teammates",2,00011
31,Hands on involvement from company leadership,0,00000
32,Consulting: 2 years (Required),0,00000
33,Information Technology: 5 years (Required),0,00000
34,Microsoft CRM: 3 years (Required),0,00000
35,Bachelor's (Required),2,01000
36,"Chicago, IL (Required)",0,00000
37,United States (Required),0,00000
38,Develops strong partnerships across our organization,0,00000
39,"Brings a positive, service-oriented approach to work",0,00000
40,Is driven by creating unique and efficient solutions for business challenges,2,00011
41,Is passionate about their contribution to Fossil,0,00000
42,Has a great time at work and encourages others to do the same,2,00011
43,You have completed a degree in Business Administration,0,00000
44,You have deep expertise in retail and/or CPG pricing. Proficiency with retail pricing optimization software packages a plus,2,00011
45,"You have financial knowledge, including modeling, sensitivity analysis and end-to-end revenue recognition",2,00011
46,"Your analytical, quantitative and problem-solving skills are outstanding",2,00011
47,You have deep expertise in Excel and Tableau. SQL or other query writing experience needed,2,00011
48,Data management experience is highly preferred,0,00000
49,You are driven and self-motivated,2,00011
50,"Design and create professional signs, graphics, and production ready artwork.",2,00011
51,Assist sales team and customers with creative input as well as being able to communicate production methods and limitations.,2,00011
52,Assist and direct production employees when needed,2,00011
53,Operate and maintain large format printer.,2,00011
54,Operate and maintain vinyl plotter.,2,00011
55,Operate and maintain three axis router.,2,00011
56,Maintain print and vinyl media inventory,2,00011
57,"Complete design work, print and vinyl materials/components and completed sign projects in a timely manner based on production schedule.",2,00011
58,"Maintain clean and organized work space, as well as professional personal appearance.",2,00011
59,Learn and adhere to safety standards,2,00011
60,Help maintain a clean and organized production department.,2,00011
61,Arrive to work and time and maintain regular attendance record.,2,00011
62,Bring a positive attitude with you to work every day.,0,00000
63,Paid vacation and holidays,2,00011
64,Compensation based on experience,0,00000
65,relevant: 1 year (Required),0,00000
66,High school or equivalent (Preferred),0,00000
67,North Carolina (Required),0,00000
68,"Demonstrated ability to interpret and apply state procurement regulations, policies and procedures.",2,00011
69,"Working knowledge of state and familiarity with federal government procurement policies for the purchase of goods, and services.",2,00011
70,Excellent written/verbal communication skills.,2,00011
71,Experience with Google Suite Applications.,0,00000
72,Experience with or an interest in working with Hubspot CRM.,0,00000
73,Basic familiarity with cloud-based applications.,0,00000
74,An interest in GovTech and modernizing the public safety space.,2,00011
75,Willingness to empathize with users who may be unlike yourself.,0,00000
76,Coming to work with an open mind and leaving your ego at the door.,2,00011
77,"Ownership over your own work and a commitment to every part of a task, from big picture to small details.",2,00011
78,"An attitude that is self-motivated, humble, detail-oriented, and committed to quality.*",2,00011
79,Opportunities for career growth in an environment where your achievements will be celebrated.,0,00000
80,Gain fluency in enterprise software products and government sales best practices.,2,00011
81,Direct support and mentorship from more senior members of the sales team.,2,00011
82,A team that respects and embraces your ideas.,2,00011
83,"Coworkers that are motivated by pursuing excellence, rather than the prospect of personal gain.",0,00000
84,Grant Writing: 1 year (Preferred),2,00011
85,Military: 2 years (Preferred),0,00000
86,Procurement: 3 years (Preferred),0,00000
87,Detail-oriented -- quality and precision-focused,2,00011
88,Innovative -- innovative and risk-taking,2,00011
89,Aggressive -- competitive and growth-oriented,2,00111
90,"Stable -- traditional, stable, strong processes",0,00000
91,People-oriented -- supportive and fairness-focused,2,00011
92,Team-oriented -- cooperative and collaborative,2,00011
93,Outcome-oriented -- results-focused with strong performance culture,0,00000
94,A job for which military experienced candidates are encouraged to apply,0,00000
95,"Company Culture: innovative, collaborative, fast-paced, welcoming, challenging, fun, and we encourage work-life balance.",2,00011
96,Competitive salary with company-wide bonus program for a little extra icing on the cake.,0,00000
97,"Paid Time Off for your vacations, adult proms, mental health days, Comic-Con, etc. :)",0,00000
98,"Professional Development: training, project opportunities, and advancement potential.",2,00011
99,Visit our awesome website to learn more: oncourselearning.com,0,00000
100,inside or outside sales: 1 year (Preferred),0,00000
101,relevant: 1 year (Preferred),0,00000
102,"Chicago, IL (Preferred)",0,00000
103,"Have you closed any inside sales deals , if so how much per week.",0,00000
104,"Develops overall OSP system design for new developments and over-builds for copper, HFC and fiber facilities.",2,00011
105,Prepares conduit drawings for power companies and developers.,2,00011
106,"Prepares and provides splicing diagrams to construction engineers for copper, HFC and fiber platforms.",2,00011
107,Develops HFC system design parameters.,0,00000
108,Evaluates new OSP products and designs for possible implementation.,2,00011
109,Assists in the preparation of the annual engineering budget.,2,00011
110,Initiates OSP work orders for construction.,0,00000
111,"Uses CAD/AM/FM design software to produce copper, HFC and fiber designs and bill of materials.",2,00011
112,"Forecasts service demands to develop short, medium and long-range plans.",2,00011
113,Works with network engineers to incorporate network elements.,0,00000
114,Prepares and maintains detailed assignment documents on fiber projects and communicates these with facilities engineering.,2,00011
115,"Prepares detailed drawings, cost estimates and material requirements for the planned installation of OSP facilities.",2,00011
116,Works with facilities to prepare methods and procedures for cutover on new or rearranged plant facilities.,2,00011
117,Provides current new development land base and notifies mapping technicians when all changes are complete.,2,00011
118,Provides as-built HFC drawings to mapping technicians.,0,00000
119,"Work with mapping technicians to provide/create/update special maps for OSP, sales, and management.",2,00011
120,Performs other related duties as assigned to ensure the effective operation of the department.,2,00011
121,High school diploma or equivalent.,0,00000
122,Prior experience as OSP Design Engineer or 5+ years OSP experience in cable construction and maintenance.,2,00011
123,"Must demonstrate an understanding of communications distribution networks on fiber, copper, and HFC platforms.",2,00011
124,"Solid knowledge in OSP construction methods and practices as set by RUS, Telecordia, and BICSI.",2,00011
125,Knowledgeable in basic electrical theory.,0,00000
126,Experience in Microstation CADD software desired.,0,00000
127,"Working knowledge of Microsoft Office software including Visio, Excel, and Word.",2,00011
128,Five plus years experience leading pre-sales engagements and supporting Senior Sales colleagues in achieving and exceeding territory revenue plans,2,00011
129,Proven ability to influence and command respect from customer senior enterprise architects,2,00011
130,Experience driving discovery with customers to understanding challenges and business needs.,2,00011
131,Closing skills - know how to get the technical win,0,00000
132,"Ability to estimate projects large and small, including assessing and mitigating risk",2,00011
133,Comfortable managing multiple concurrent opportunities and delivering on time,2,00011
134,"Strong problem-solving skills, intelligence, initiative, and the ability to thrive under pressure",2,00011
135,Excellent interpersonal and communication skills (detail oriented),2,00111
136,Passion for API first commerce and for helping us build a hot and growing start-up,2,00011
137,Experience in digital platform sales mandatory,0,00000
138,Competent in API-first development with REST based APIs,0,00000
139,Working skills in JavaScript front end development,0,00000
140,Ability to develop solutions with customers to address customer-specific requirements,0,00000
141,Solution Architecture: 3 years (Required),0,00000
142,SaaS: 2 years (Required),0,00000
143,in creating sales demo or prototypes: 2 years (Required),0,00000
144,Drive Pre-sell results through daily communication and recognition,2,00011
145,Ensure merchandising process goes smoothly and recover department to floor readiness standards,2,00011
146,"Ensure all Jewelry procedures, policies, standards, and Fine Jewelry Operations are understood and followed by associates",2,00011
147,Maintain acceptable presentation standards on the selling floor through proper utilization of visual displays and merchandise content,2,00111
148,Manage adherence to Merchandise Availability Protection Standards (MAP) and maintain a high level of associate awareness regarding shortage,2,00011
149,Support the execution of physical inventory process for Jewelry,2,00010
150,"Execute sale set-ups, stock put away, fill-in, signing, and markdowns in a timely manner",2,00011
151,Be knowledgeable of POS policies and procedures and be able to train and coach associates on the POS functions,2,00011
152,Review advertising calendar and maintain floor presentation to maximize sales opportunities,2,00111
153,Build enthusiasm and awareness of promotional events amongst selling staff,2,00011
154,"Recruit, motivate, and develop new and incumbent associates on company policies and procedures, product knowledge.",2,00011
155,Review business driving opportunities with management and coordinate implementation within area.,2,00011
156,Maintain contact with all levels of management at the store and district level to obtain direction and support.,2,00011
157,Partner with Store & District Staffing resources on necessary schedule edits to maximize results.,0,00000
158,Adhere to Asset Protection and inventory control and compliance procedures,2,00011
159,"Maintain department recovery standards; including fitting room go backs to standard, if applicable.",0,00000
160,Establish high level of shortage awareness and effectiveness; ensure that all policies and procedures are implemented.,2,00011
161,"Perform these functions in an efficient manner, as directed by the supervisor.",0,00000
162,"Demonstrate regular, dependable attendance and punctuality.",2,00011
163,High School Diploma or equivalent required.,0,00000
164,Minimum of one to five years of experience in retail sales is required.,0,00000
165,"Basic math functions such as addition, subtraction, multiplication, and division.",2,00011
166,Able to use a calculator.,0,00000
167,"Self-starter, able to work independently and as part of a team and must have good time management skills.",2,00011
168,Superior organizational and time management skills.,2,00011
169,Able to delegate tasks.,0,00000
170,Ability to collaborate and function as a member of a team.,2,00011
171,Must possess a strong sense of urgency.,0,00000
172,Should be comfortable with the use of computers and frequent use of RF equipment.,2,00011
173,SEO: 2 years (Preferred),0,00000
174,Google AdWords: 2 years (Preferred),0,00000
175,PPC: 2 years (Preferred),0,00000
176,Workplace perks such as food/coffee and flexible work schedule,2,00011
177,Answer the inventory room phone.,2,00001
178,Coordinate return and exchanges in accordance with company policy.,2,00011
179,Print Return/Exchange forms for all stations and delivery.,2,00011
180,Update the Register Inventory sheet as needed.,0,00000
181,"Assess inventory needed in the live inventory room and transfer items as needed, complete daily inventory counts.",2,00011
182,Assess inventory overages and shortages and submit inventory needs to the Logistics.,2,00011
183,Receive and process PO's on scheduled delivery days.,2,00011
184,Enter all vape pens and merchandise into point of sale system when received.,2,00011
185,Assess accessory needs with manager and order as needed.,2,00011
186,Customer Service Responsibilities:,0,00000
187,Bag online pickup orders when not receiving calls.,2,00011
188,"Previous experience working in retail and customer service environment, accurate use of computer-based point of sale software systems.",2,00011
189,Able to understand and follow written/oral instructions.,2,00011
190,Proficiency with Microsoft Excel.,0,00000
191,Proven ability to analyze data and draw appropriate conclusions to inform policies and procedures.,2,00011
192,"Excellent communication, customer service, and organizational skills.",2,00011
193,Ability to work both independently and in a team environment.,2,00011
194,Ability to respectfully and politely interact with customers and team members.,2,00011
195,Master's degree or higher.,2,01000
196,Help with any and all other aspect of the fulfillment center as needed.,2,00011
197,"Strong communication skills, both verbal and written",2,00011
198,Computer knowledge (Microsoft Office),0,00000
199,"Ability to learn, and grasp the knowledge of the new software as introduced",2,00011
200,"Knowledge, or the ability to learn and understand the requirements of foreign shipments",2,00011
201,Ability to multi-task,0,00000
202,The ability to lift up to 70 pounds repeatedly,2,00010
203,"Ability to work in a fast paced, high volume environment",0,00000
204,Ability to operate manual and electric power pallet jack,2,00011
205,Dependability - due to the limited number of employees able to use the shipping software.,0,00000
206,"Overtime will be required at times (early morning, evenings, weekends, & possibly holidays)",2,00100
207,"Bending, Lifting, Twisting, Sitting, Stacking, and Walking frequently throughout the day",2,00011
208,Lifting up to 70 pounds frequently,2,00010
209,Perform activities that use the whole body,0,00000
210,"Proficient in software development tools, knowledge of git revision control",0,00000
211,Strong programming skills,0,00000
212,Knowledgeable in C development,0,00000
213,Switch development and debugging experience,2,00011
214,Ability to adapt and quickly pick up new technologies,2,00011
215,Excellent analytical and problem-solving skills,2,00011
216,Experience that is a Major Plus,0,00000
217,Experience developing FASTPATH-based switches.,0,00000
218,High school or equivalent (Preferred),0,00000
219,Detail-oriented -- quality and precision-focused,2,00011
220,Aggressive -- competitive and growth-oriented,2,00111
221,Outcome-oriented -- results-focused with strong performance culture,0,00000
222,"Stable -- traditional, stable, strong processes",0,00000
223,People-oriented -- supportive and fairness-focused,2,00011
224,Team-oriented -- cooperative and collaborative,2,00011
225,Innovative -- innovative and risk-taking,2,00011
226,Sold a new account and renewed existing accounts in keeping with firm and individual goals while building relationships with clients,2,00011
227,"Presented proposals in a professional manner, reviewing coverage's in detail to ensure understanding",0,00000
228,Met your monthly new business goals,0,00000
229,Identified and solicited sales prospects from various sources,2,00011
230,Positively represented the firm and our insurance company partners in the community,2,00011
231,Performed other functions as assigned by leadership,0,00000
232,"Looked for opportunities to improve the firm, business segment, and processes and brought issues and discrepancies to appropriate leadership",2,00011
233,"Moderate to advanced knowledge of Microsoft Word, Publisher, Excel and PowerPoint",2,00011
234,Ability to learn appropriate insurance company and firm software programs,2,00011
235,Leads are provided for our reps so they can focus on making the sale and closing the deal vs spending their time prospecting,2,00011
236,"Our reps thrive on competition. We have created a unique work atmosphere that fosters results while still maintaining a casual, fun feel",0,00000
237,"Work hard, play hard mentality; we reward our employees with fun incentives and a competitive pay structure.",2,00011
238,Able to handle a fast paced work environment and adapt quickly to change,2,00011
239,Bachelor's (Required),2,01000
240,Aggressive -- competitive and growth-oriented,2,00111
241,Outcome-oriented -- results-focused with strong performance culture,0,00000
242,Five or more years managing an attraction.,0,00000
243,"Excellent, proven interpersonal, verbal and written communications skills.",2,00111
244,Demonstrated ability to manage and supervise a team of employees.,2,00011
