,jobrequirements,bias,againstgroup
0,Makes written and oral reports/recommendations to the Governing Body as necessary concerning the operations of their Program.,2,00011
1,"Ensures that appropriate action is taken to correct problems identified by QAPI, audits patient complaints, patient/family recommendations, etc.",0,00000
2,Ensure that all protected information is maintained to ensure confidentiality.,0,00000
3,"Ensure the provision of services and general operation of the hospice conform to all applicable federal, state and local statutes regulations.",2,00011
4,Interfaces and coordinates all related regulatory communications and activities,2,00011
5,Conducts employee counseling and guidance.,2,00011
6,Interfaces with HR department re: compliance and human resources management as needed.,2,00011
7,Ensure that 24-hour coverage/service availability is maintained on an ongoing basis.,0,00000
8,"Models positive, respective behaviors and communication with staff peer and supervisors.",2,00011
9,Named Leader in the Forrester Wave: Cybersecurity Incident Response (IR) Services Q1 2019 report.,0,00000
10,Named to Forbes 2018 Cloud 100 List; the definitive list of the top 100 private cloud companies in the world.,0,00000
11,CrowdStrike scored the highest in Gartner Critical Capabilities Report for forward leaning organizations.,0,00000
12,CrowdStrike Wins SC Award for Best Security Company Second Year in a Row.,0,00000
13,May 2018: CNBC Disruptor 50 List Second Year in a Row.,0,00000
14,Named Leader in Forrester Wave Endpoint Security Suites and Forrester Wave Endpoint Detection and Response (EDR).,2,00011
15,"Revenue forecast - review Sales pipeline data and guide the management team on the realistic monthly, quarterly and yearly achievement",2,00011
16,Ad hoc and Special projects,2,00011
17,6+ years of experience in SaaS Revenue accounting and/or forecasting,2,00011
18,Knowledge on GAAP Rev recognition for SaaS business model,0,00000
19,Past or current experience in SaaS Revenue Accounting,0,00000
20,You must love our business,0,00000
21,Market leader in compensation and equity awards,2,00011
22,Competitive vacation policy,0,00000
23,Comprehensive health benefits + 401k plan (US only),0,00000
24,"Paid paternity and maternity leave, including adoption",2,00011
25,Flexible work hours and remote friendly environment,2,00011
26,"Stocked fridges, coffee, soda, and lots of treats",2,00011
27,"Inclusive culture focused on people, customers and innovation",2,00011
28,"Regular team activities, including happy hours, community service events",0,00000
29,Expense Allowance for your car and cell phone,2,00011
30,Productivity Bonuses,0,00000
31,UNCAPPED Commissions,0,00000
32,"World Class Paid Training, plus ongoing training",0,00000
33,Promotion opportunities for ALL Top Performers,0,00000
34,Virtual work environment,0,00000
35,"Medical, Dental, Vision, Prescription, Life Insurance; FSA, EAP, and Disability Benefits",2,00011
36,Employee referral bonuses and tuition assistance,2,00011
37,401(k) retirement plan with matching,0,00000
38,"Paid holidays, personal, and vacation days",2,00011
39,Prospect for new business,0,00000
40,Build and maintain client base,2,00011
41,"Explain complex technical concepts such as SEM, SEO, Online Display, etc.",0,00000
42,Use iPads to present solutions,0,00000
43,Work in a virtual environment,0,00000
44,"Google, Microsoft, SEMPO Certifications",0,00000
45,Working knowledge of OneNote,0,00000
46,Reach out and get contracts from buyers that want to purchase off Market Inventory,2,00011
47,"Learn and understand real estate terms, values, contracts, repairs and more.",2,00011
48,Willing to learn new things quickly and multi-task.,2,00011
49,Must be able to manage leads and follow up with prospects using CRM software.,2,00011
50,"This position is primarily(95%) inside sales, but some outsideside sales at times.",0,00000
51,Must be a team player. What Ever It Takes Attitude,0,00000
52,Love helping people and great at building rapport.,2,00011
53,Excellent verbal and written skills.,2,00011
54,Show initiative in everything you do and have a great mindset/attitude.,2,00011
55,Someone who understands that success comes through hard work and tenacity.,2,00011
56,Teachable and willing to adapt our streamlined processes/systems.,2,00011
57,Can follow instructions and is detail oriented.,2,00011
58,Minimum of 1 Year Commission Sales Experience,0,00000
59,No Real Estate Experience Required but preferred.,0,00000
60,"High School Diploma. College not required, but preferred.",0,00000
61,Reliable Phone and Internet Connection.,2,00011
62,Willing to work on some weekends.,0,00000
63,"People with previous car sales, cold calling, door to phone sales experience is a plus",2,00011
64,Commission: 1 year (Preferred),0,00000
65,United States (Preferred),0,00000
66,Educate and excite customers about our leading portfolio of beverages,2,00011
67,"Sell incremental displays, equipment placements, and promotional programs",2,00011
68,"Maintain appropriate inventory levels, company assets and promotional ad signage (point of sale) and displays",2,00011
69,Communicate and collaborate account activities to appropriate business partners,2,00011
70,Utilize sales force automation tools,0,00000
71,"Transport, replace and maintain point of sale advertising as appropriate for each account",2,00011
72,"Passionate, values-oriented, resourceful and motivated to learn",2,00011
73,Professional proven communication and interpersonal problem-solving skills,2,00111
74,Strong attention to detail with excellent planning and organization skills,2,01011
75,Ability to serve multiple customer accounts concurrently with excellence,0,00000
76,Analytical and naturally curious to question the status quo,2,00011
77,Proficient computer application skills,0,00000
78,"Strong stamina and the ability to lift, bend, reach kneel and merchandise product. Must be able to lift 50+ pounds",2,00011
79,BS/BA Degree (or equivalent) is preferred,0,00000
80,1+ year relevant business to business sales experience is preferred (which might include Food and Beverage or Retail),2,00011
81,"$60-80K Base, OTE $150 + UNCAPPED Commission",0,00000
82,"Medical, FSA, DCA, Dental, Vision, Life and Accidental Death & Dismemberment, Short-Term and Long-Term Disability",2,00011
83,16 Paid Days Off Plus 13 Paid Holidays,0,00000
84,"Aggressively prospect, develop, and close leads using a variety of sources.",2,00011
85,Work directly with businesses to discuss and understand their needs and then develop customized solutions to drive leads to their business.,2,00011
86,Own entire sales process from prospecting to completion of the sale,0,00000
87,Ability to utilize technology to engage clients.,0,00000
88,"Meet and exceed individual daily, weekly and monthly sales goals.",2,00011
89,Must be willing to travel to customer locations if needed.,2,00010
90,An understanding and passion for the digital world we live in including social media and digital advertising.,2,00011
91,Individually driven to work in a highly competitive environment where success is the only option.,0,00000
92,Demonstrated ability to thrive in a very structured environment.,0,00000
93,Relentless persistence in a competitive marketplace.,0,00000
94,Paid training and bonus programs,2,00011
95,"Google Premier Partner, Google Certified Training",0,00000
96,State of the art office and technology,2,00011
97,Drive and scale outbound campaigns with our marketing teams.,2,00011
98,Build and track a pipeline using our CRM.,2,00011
99,Meet / pitch potential new clients.,0,00000
100,Participate in community events.,0,00000
101,Respond to inbound leads.,0,00000
102,Give online demonstrations.,0,00000
103,Participate in sales calls.,2,00011
