jobrequirements,bias,againstgroup
Responsible for data collection and analysis using custom coded tools,0,0000
Write programs to collect and analyze data,2,0011
Debug new printed circuit boards,0,0000
Prototype and test new design ideas,0,0000
Responsible for schematic entry,0,0000
Responsible for characterization and verification of new instrument designs,0,0000
Responsible for printed circuit board layout,0,0000
Responsible for component selection for new designs,0,0000
3-4th year university student,0,0000
Good knowledge of English language,0,0000
"Knowledge of analog/ mixed Signal Design, using the following components: Discrete, Standard Logic, CPLD, DAC/ ADCs, Voltage Regulators and Op Amps",0,0000
Programming experience in C or C++ is a plus,0,0000
"Provide external (mass media, public relations) and internal (different structures in the Ayb system) communication",2,0011
Develop fundraising strategy and appropriate products,0,0000
Manage the team of approximately 4-5 people,0,0000
Manage various processes related to PR and Fundraising campaigns,0,0000
"Structure the event management system in terms of the PR and FR department scope of activities, and Ayb system overall",0,0000
Develop policies and procedures in the given field,0,0000
Organize a vast variety of PR and FR events,0,0000
ups for the purpose of gaining the utmost result,0,0000
"Manage the creation of promo materials (booklets, flyers, annual reports, videos, etc",0,0000
University degree in Journalism/ Social sciences or in a related field,0,0000
At least 2-3 years of experience in management position in the related field,0,0000
Ability to generate ideas and follow them through to completion for the purpose of product creation and development,0,0000
"Brilliant knowledge of the Armenian, Russian and English languages (both written and oral)",2,0011
"Perfect writing (articles, creative writing, business, etc",2,0011
Ability to delegate tasks and manage a team,0,0000
"Excellent communication, organizational, conflict and stress management skills",2,0011
High level of PC and digital literacy,0,0000
"Flexibility, commitment and loyalty",0,0000
Result-oriented and self-motivated personality,0,0000
Ability to work under pressure and meet deadlines,0,0000
"Prepare and conduct trainings for customer care department, e",0,0000
"Develop and conduct knowledge tests  for evaluating front line agents quality, analyze results and make coaching",0,0000
"Make call assessments to evaluate front line agents quality, analyze results and make coaching",2,0011
"Make web chat assessments to evaluate front line agents quality, analyze results and make coaching",0,0000
"Conduct trainings, coaching, assessment evaluations and analyze the results",0,0000
Conduct and follow up the intra-departmental communication through intranet and e-mail,2,0011
Participate in new P&S tests if needed,0,0000
Report on a monthly basis to the direct supervisor or manager based on need,0,0000
Responsible for other tasks related to the domain,0,0000
"University degree, preferably in Social Sciences",0,0000
"1-2 years of experience in training design, conducting, assisting, etc",0,0000
"Knowledge of MS Office, good knowledge of Power Point, Internet navigation skills",0,0000
"Ability to deliver trainings and quality materials in Armenian, Russian and English languages",0,0000
Excellent knowledge of Russian and English languages,0,0000
Strong communications skills,2,0011
Training and coaching skills,0,0000
Flexible and analytical thinking,0,0000
Organized approach to the work,0,0000
Perform cash desk duties,0,0000
Make and perform reports,0,0000
Post data correctly and quickly,0,0000
Experience in customer service,0,0000
"Educated, patient, polite personality",0,0000
"Strong interpersonal skills, much attention to details",2,1100
Ability to work with time pressure,0,0000
Strong communication skills,2,0011
Ability to deal with paperwork,0,0000
"Punctuality, high responsibility",0,0000
Fluency in English and Russian languages,0,0000
Previous work background in this sphere will be an advantage,0,0000
Organize the leisure of the children,0,0000
Interact pleasantly and positively with children,0,0000
Provide full information to the customer about how to use the game machines,0,0000
Take care for the unfailing functioning of the game machines,0,0000
Perform other tasks as requested,0,0000
Ability to communicate with children,0,0000
Individual worker and a team player,0,0000
"Punctuality, high responsibility",0,0000
"Educated, patient, genteel personality",0,0000
Fluency in English and Russian languages,0,0000
Pedagogical or psychological education and previous work experience in this sphere will be an advantage,0,0000
Responsible for audit of financial statements prepared under IFRS or other GAAP,0,0000
Review internal controls and business processes within the scope of the audit of financial information,0,0000
Prepare audit reports,0,0000
Report audit findings and make recommendations for the correction of noted control deficiencies,0,0000
Responsible for project and task delivery,0,0000
"Identify and effectively deal with risks, project extensions, etc",0,0000
"Ensure high ethics, quality and compliance with applicable professional standards",0,0000
Good knowledge of International Financial Reporting Standards (IFRS),0,0000
Good knowledge of the Republic of Armenia Tax and Labor legislation,0,0000
2 years of work experience in Auditing and onwards depending on the role,0,0000
Knowledge of English and Russian languages (spoken and written),2,0011
Ability to meet deadlines with flexibility and professionalism,0,0000
"Solid audit work paper documentation skills, analytical mind and problem solving abilities",0,0000
Dedicated and client-oriented approach to work,0,0000
"Ability to make decisions under pressure, problem-solving skills",0,0000
Strong team-player with excellent verbal and written communication skills,2,0011
Realize marketing strategy requirements for SME business,0,0000
"Prepare offers to new services and improve the current ones, as well as make their performance analysis",0,0000
Act in line with key economic indicators set for SME business services,0,0000
Conduct market development analysis,0,0000
University degree in Economics or Marketing,0,0000
At least 1 year of experience in a relevant field,0,0000
"Knowledge of market-analysis, financial analysis and market forecast",0,0000
Market research analysis skills,0,0000
Communication skills,2,0011
"Fluency in Armenian, Russian and English languages",0,0000
"Prepare  reports, designs and drawings, making calculations about loads and stresses",0,0000
"Investigate appropriate construction materials, providing technical advice  and monitoring/ inspecting work undertaken by contractors",0,0000
"Use computers and computer-aided design technology for simulation purposes, making drawings, specifications and models of structures",0,0000
"Obtain planning and/ or building regulations approval, prepare bids for tenders",0,0000
Ability to display keen commercial awareness and understand the business implications of the made  decisions,0,0000
Knowledge of construction design software programs,0,0000
"Knowledge of construction processes, means and methods, industrial products, construction details and the relevant rules, quality regulations",0,0000
"Communication skills, ability to convey complex concepts to a client who is unfamiliar with structural engineering principles",2,0011
Leadership and resource management skills,0,0000
Strong conceptual skills,0,0000
Conflicts management and crises regulation skills,0,0000
Excellent knowledge of English and Russian languages,0,0000
Excellent knowledge of seismic codes of RA,0,0000
Relevant work experience,0,0000
"Responsible for day-to-day office operations, procedures related to Director",0,0000
"Document, communicate and manage internal policies and procedures for Executive support",0,0000
"Collaborate to maintain the Directors complex calendars, coordinate and schedule meetings",0,0000
Respond to heavy email inquiries in a timely and professional manner,0,0000
Gain knowledge of cycle/ schedules in order to proactively schedule internal meetings between employees and the Director,0,0000
"Conserve executive's time by reading, researching and routing correspondence",2,0011
Represent the executive by attending meetings in the executive's absence,0,0000
Maintain and protect operations by keeping information confidential,0,0000
Provide historical reference by developing and utilizing filing and retrieval systems,0,0000
Contribute to team effort by accomplishing related results as needed,0,0000
"Facilitate conference calls, video conference and web-based meetings",2,0011
