jobrequirements,bias,againstgroup
Operations: 2 years (Required),0,0000
Merchandising: 2 years (Required),0,0000
Retail Assistant Manager: 3 years (Preferred),0,0000
Inventory Management: 2 years (Required),0,0000
High school or equivalent (Required),0,0000
Tuition reimbursement,0,0000
Bi weekly or Twice monthly,0,0000
Team-oriented -- cooperative and collaborative,0,0000
People-oriented -- supportive and fairness-focused,0,0000
Outcome-oriented -- results-focused with strong performance culture,0,0000
"Applies product and procedural knowledge to identify, mitigate and solve customer problems effectively to drive customer loyalty.",0,0000
To learn more about this and other opportunities on our team. Watch this video.,0,0000
maximizing the potential sales volume of all segments of the market.,0,0000
"the accuracy of all information on websites, collateral and advertising that promote the hotel.",0,0000
Developing and implementing strategic marketing and sales plans.,0,0000
Developing and managing sales/marketing operating budgets.,0,0000
Overseeing and evaluating market research and adjusting marketing strategy to meet changing market and competitive conditions.,2,0100
"Monitoring competitor products, sales, and marketing activities.",0,0000
"Establishing and maintaining a consistent corporate image throughout all product lines, promotional materials, and events.",0,0000
"Representing the company at trade association meetings to promote Spirit Hospitality, LLC.",0,0000
"Meeting with key clients, maintaining relationships and negotiating/closing deals.",0,0000
"Preparing periodic sales reports showing sales volume, potential sales, and areas of proposed client base expansion.",0,0000
Five (5) years of related hospitality management experience,0,0000
Strong communication and sales skills,2,0011
Strong organizational and follow-up skills,0,0000
"Implement, configure, deploy and support systems, including, but not limited to computing devices, servers",0,0000
"Create, analyze, report, convert, or transfer data, using specialized applications program software.",0,0000
"Administer network and data security, including directory, group policy, firewalls, antivirus, email security, etc.",0,0000
Install and configure wireless networking equipment.,0,0000
"Setup desktops, laptops, iPads and other hardware where needed.",0,0000
Basic printer troubleshooting skills preferred.,0,0000
"Basic understanding of VoIP phone systems is preferred, but not required.",2,0001
A+ and MCSA certifications are a plus,0,0000
2+ years of work experience in information technology hardware/software and assisting end users,0,0000
Knowledge of hardware troubleshooting and diagnostics.,0,0000
Ability to work under pressure and handle multiple tasks and issues simultaneously.,0,0000
Strong written and verbal communication skills,2,0011
Desire to continue to learn and grow within the IT field,0,0000
relevant: 2 years (Preferred),0,0000
Bachelor's (Required),0,0000
United States (Required),0,0000
"Research, build, maintain and grow a robust sales lead pipeline.",0,0000
"Build, maintain and grow excellent customer relationships, founded on industry leading advice, trust and fun.",0,0000
"Maintain product and marketing knowledge by attending internal and external conferences, events and product briefing.",0,0000
Report on a weekly basis progress of sales pipeline development and sales closed Required Skills & Qualifications,0,0000
Enjoy the challenge of sales,0,0000
Unafraid to conduct cold calling,2,0011
"College Diploma/Degree in Business, or Technology or equivalent",0,0000
"Experience dealing in a sales, marketing or service role",0,0000
Excellent at building and maintaining relationships,0,0000
Excellent at prioritizing workload/multitasking,0,0000
Ability to travel around USA and to Canada,2,0010
Proactive and able to use initiative,0,0000
Excellent communication and presentation skills (both written and oral),2,0111
Strong customer service ethic,0,0000
Microsoft Office Specialist Certification or Equivalent,0,0000
Reliable transportation,0,0000
Full-time availability,0,0000
Excellent people skills,0,0000
Ability to work with others in a group and independently,0,0000
Strong student mentality,0,0000
Marketing/Advertising,0,0000
Shift Lead or Team Lead,0,0000
Serve brand name customers across a range of industries to drive impactful business value,0,0000
Partner cross-functionally to translate business needs into new solutions for customers,0,0000
"Facilitate meetings, trainings, and knowledge transfer sessions tailored to individual customer needs with a goal of long-term self-sufficiency",0,0000
Experience writing Python code for data ingestion or data processing at large scale is preferred,2,0011
Experience with AWS components and tools is preferred,0,0000
Demonstrated ability to work independently with superior organizational skills and attention to detail,2,1000
Experience with Agile development approaches,0,0000
Up to 50% travel to the customer location is possible,2,0010
A strong collaborator,0,0000
Curious and someone who loves to crack a tough problem,0,0000
Someone who enjoys the fast-paced start-up always changing environment and the flexibility it provides,2,0100
"Having a high level of integrity, trustworthy, and a good listener",0,0000
"Skilled at coaching and mentoring other team members, customers, and partners on data integration methods and tools",0,0000
Work with Sales Manager to create an action plan and schedule to identify specific targets and to project the number of new contacts made.,0,0000
"Participate in marketing events such as seminars, trade shows, and telemarketing events for independent and franchise dealers.",0,0000
Follow-up on new leads and referrals resulting from field activity and company marketing efforts.,0,0000
Assist dealer partners on what is needed for proper verification of loans.,0,0000
Participate in all sales meetings and calls.,2,0011
Ability to persuade and influence others,0,0000
Strong interpersonal and communication skills,2,0111
Knowledge of advertising and sales promotion techniques,0,0000
Significant local travel to current and potential clients. This requires the possession of a valid driver's license.,2,0010
Positioning Security solutions to large Commercial clientele.,0,0000
Ability to effectively profile target accounts,0,0000
Professional networking to build relationships with C-level executives and decision-making managers at targeted clients.,0,0000
"Working with an inside sales team in coordinating sales activities (order processing, marketing events, etc.).",0,0000
Maintaining client and OEM relationships.,0,0000
"Continuing education on evolving networking, unified communication, virtualization, and storage technology.",2,0011
Candidates must have a successful track record of selling hardware to Fortune 500 clients.,0,0000
Strong Security technical acumen will be required.,0,0000
Understanding the technical challenges and demands of Security solutions and products.,0,0000
Ideal experience includes consultative solution.,0,0000
Experience with Cisco and Palo Alto Networks preferred.,0,0000
Outstanding communication and organizational skills required.,2,0011
Bachelor's Degree or equivalent industry experience preferred.,0,0000
Driving sales and providing product support.,0,0000
Exemplify superior Apple knowledge and expertise in troubleshooting and repairs.,0,0000
Work with the vendor to resolve complex problems and ensures customer satisfaction.,0,0000
Strong communication skills in which you can converse freely and comfortably with small groups and individual customers.,2,0011
"Repair flexibility (diagnosis, MRI) to regularly rotate through different technical specialties and skill sets.",0,0000
Superior Apple knowledge and expertise in troubleshooting and repairs.,0,0000
Work with the vendor to resolve complex problems and ensures customer satisfaction.,0,0000
Keep current on Apple and computer product changes or new product launches.,0,0000
Other duties as assigned,0,0000
"Produce sales gains, by providing customer service.",0,0000
Meet or Exceed Company Objectives in all measurable areas of the business.,0,0000
"Adhere to current visual guidelines including proper merchandising, signage and store cleanliness.",2,0010
"Maintain strong product knowledge for use in selling, merchandising, and giving feedback as requested.",0,0000
Ensure that all associates maintain a professional appearance consistent with company dress code policy.,0,0000
Protect Company assets within guidelines of LIDS Retail policies.,0,0000
"Prepare store schedules and provide for proper store coverage at all times, within the guidelines for wage control set by the company.",0,0000
"Follow all policies to accurately manage store inventory including receiving, transferring, completing price changes and conducting product counts.",0,0000
"Perform proper documentation and record keeping per LIDS Retail policies, complying with all state and federal laws.",0,0000
Open and close the store as required following the procedures per the Operations P&P Manual.,0,0000
"Manage store associates through thorough use of LIDS Training Programs, goal setting (for sales and tasks), and regular follow up.",0,0000
"Recruit, develop, and train store personnel to achieve Operations Objectives as well as adhere to Operational policies and guidelines.",0,0000
"Performs work of subordinates, as needed.",0,0000
Communicate with employees at all levels of the company.,0,0000
Other duties as assigned.,0,0000
"Established ability to produce sales results, while minimizing loss.",0,0000
"Proven supervisory skills, with capacity to deliver training material and assess retention.",0,0000
Strong interpersonal skills and the ability to communicate verbally in a clear and professional manner.,2,0100
"Ability to operate a computer, as well as maneuver relative software programs.",0,0000
Ability to lift up to 50 pounds.,2,0010
Ability to climb a ladder and work with hands overhead.,0,0000
Standing required for up to 100% of the work time.,2,0010
Ability to work unsupervised.,0,0000
Ability and willingness to travel overnight for training and/or business meetings.,2,0010
"Produce sales gains, by providing customer service.",0,0000
To meet or exceed Company Objectives in all individual statistics.,0,0000
"Adhere to current visual guidelines includes: proper merchandising, signage and store cleanliness.",2,0010
Maintain a professional appearance consistent with Company Dress Code Policy.,0,0000
Protect Company assets within guidelines of LIDS Retail policies.,0,0000
Assist in preparation of store work schedules that provide proper store coverage and are within the Company guidelines for wage control.,0,0000
"Follow all policies to accurately manage store inventory including receiving, transferring, completing price change and conducting product counts.",0,0000
Complete accurate product counts in a consistent and timely manner.,0,0000
Perform proper documentation and record keeping per LIDS Retail policies as well as state and federal laws.,0,0000
