jobrequirements,bias,againstgroup
"Excellent oral and written communication skills in Armenian, English and Russian languages",2,0011
Provide support to the supervisors and the staff to develop its skills and capabilities,0,0000
Ensure that accurate job descriptions are in place,0,0000
Provide advice and assistance when conducting staff performance evaluations,0,0000
Identify training and development opportunities,0,0000
"Organize staff training sessions, workshops and activities",0,0000
Provide basic counseling to staff who have performance related obstacles,0,0000
Provide advice and assistance in developing human resource plans,0,0000
Provide staff orientations,0,0000
Monitor staff performance and daily attendance activities,2,0001
Investigate and understand causes for staff absences and recommend solutions to resolve chronic attendance difficulties,0,0000
Provide basic counseling to those in the staff who have performance related obstacles,0,0000
Provide advice and recommendations on disciplinary actions,0,0000
"Provide information and assistance to staff, supervisors and managements  on human resource and work related issues",0,0000
Develop and implement a human resources plan and personnel management policies and procedures,0,0000
Promote workplace safety,0,0000
Demonstrate sound work ethics,0,0000
Provide advice and assistance to staff and management on pay and benefits systems,0,0000
Explain the provisions of the personnel policy,0,0000
Prepare and implement staff benefit packages,0,0000
"Maintain confidentiality, use sound judgment and perform independently while performing the duties of the human resource officer, - Be flexible",0,0000
"Understanding of relevant legislation, policies and procedures",0,0000
Understanding of land claims and self-government,0,0000
Supervisory and team-building skills,0,0000
Problem solving and basic counseling skills,0,0000
Negotiations skills,0,0000
Effective verbal and listening communications skills,2,0011
"Computer skills, including the ability to operate spreadsheets and word processing programs at a highly proficient level",0,0000
"Effective written communication skills including the ability to prepare reports, proposals , policies and procedures",2,0011
Effective public relations and public speaking skills,2,0001
Research and program development skills,0,0000
Stress management skills,0,0000
Interviewing and time management skills,0,0000
"Respectful, consistent and fair personality possessing cultural and political awareness and sensitivity",0,0000
"Prepare the revenue, expense, payroll entries, invoices and other accounting documents",0,0000
"Responsible for bookkeeping and preparation of standard financial reports such as balance sheet, profit and loss statement, etc",0,0000
Responsible for pay-roll calculation,0,0000
"Perform day-to-day activities (invoicing, reports)",0,0000
Perform clearly defined procedures under the supervision of the senior staff,0,0000
Prepare tax reports,0,0000
Maintain and control accounting records on fixed assets,0,0000
Perform other duties as may be required by supervisor,0,0000
University Degree in Accounting or Finance,0,0000
At least 3 years of professional experience,0,0000
"Fluency in Armenian, Russian and English languages",0,0000
"Computer program's excellent literacy: MS Office (strong Excel user), 1C8, Outlook",0,0000
Excellent Knowledge of tax legislation of the Republic of Armenia,0,0000
Knowledge of automated financial and accounting reporting systems,0,0000
Ability to work under pressure,0,0000
Attention to detail and accuracy,2,1000
Excellent communication and presentation skills,2,0111
Ability to supervise other accountants,0,0000
Strong analytical skills,0,0000
Prepare the periodic tax and managerial reports,0,0000
"Implement, maintain and monitor accounting policies and procedures",2,0001
Coordinate income and other cash distributions,0,0000
Prepare other financial statements and analyses if necessary,0,0000
Perform other duties as may be required by the supervisor,0,0000
Utilize teamwork to develop departmental synergy,0,0000
"Higher education in Economics, Finance  or Accounting",0,0000
