,jobrequirements,bias,againstgroup
0,"Review all invoices, expense reports and check requests for appropriate documentation and approval prior to payment",2,00011
1,Responsibilities will include matching invoices and entering all invoices into the financial system,2,00011
2,Issue stop payment request,0,00000
3,Schedule and process daily/weekly check runs,2,00011
4,"Match invoices to checks, obtain all signatures for checks and distribute checks accordingly",2,00011
5,Prepare and report all appropriate 1099 vendors at year-end.,2,00011
6,Respond to all vendor inquiries,0,00000
7,"Reconcile vendor statements, research and correct discrepancies",2,00011
8,Assist in month end closing,2,00011
9,Process journal entries,0,00000
10,Maintain files and documentation thoroughly and accurately,2,00011
11,Disburse petty cash and maintain documentation,2,00011
12,Calculate and submit sales taxes on paid invoices and customer billings.,2,00011
13,Monitor and reconcile the flow of cash coming into and going out of the organization; provide Senior Management with daily cash flow reports,2,00011
14,Work with bank on any updates or changes needed,0,00000
15,Process outgoing mail and cover switchboard on a rotating schedule or as needed,2,00011
16,Assist with other projects as needed,2,00011
17,3+ years experience in accounts payable**,0,00000
18,Excellent attention to detail,2,01000
19,Must be well organized and a self-starter,2,00011
20,Ability to consistently meet all deadlines,0,00000
21,"Detail oriented, professional attitude, reliable",0,00000
22,Ability to communicate effectively verbally and in writing,2,00011
23,Must work effectively with management,0,00000
24,Accounts Payable: 3 years (Required),0,00000
25,sales: 2 years (Preferred),0,00000
26,"New York, NY 10016 (Required)",0,00000
27,Drive end-to-end innovation.,0,00000
28,Lead the Journey to Cloud.,0,00000
29,"Define and implement Oracle Cloud solutions on large, complex client projects with a scope unsurpassed in the industry.",2,00011
30,Deliver award-winning work,0,00000
31,Learn and Grow Continuously.,2,00011
32,Advance your agenda.,0,00000
33,Thrive in diversity.,0,00000
34,Succeed in an organization that actively promotes networking and mentorship among all communities.,2,00011
35,Prepare design documentation and work with application delivery resources as necessary to support business requirements,2,00011
36,Prepare and present updates on projects to executive management,2,00011
37,"Adept at determining requirements by interviewing client personnel, reviewing documentation and facilitating working sessions.",2,00011
38,Adept at creating business process models based on the requirements,0,00000
39,Adept at mapping industry trends and best practices to the client's unique requirements and processes to determine applicable fit.,2,00011
40,"Capable of defining, and re-engineering business processes.",2,00011
41,Able to present solutions described above to senior client management via whiteboard and PowerPoint.,2,00011
42,"Adept at working with clients to develop testing scenarios and test scripts and leading teams in unit, integration and acceptance testing.",2,00011
43,Successful Consultants will have the following background:,0,00000
44,"Experience in solution architecture and writing functional specifications, functional solution design for technical development.",2,00011
45,"Competitive benefits, including a fair and balanced parental leave policy.",2,00011
46,Career coaching and mentorship to help you manage your career and develop professionally.,2,00011
47,Fantastic opportunities to develop your career across a variety of clients.,0,00000
48,"Opportunities to get involved in corporate citizenship initiatives, from volunteering to doing charity work.",0,00000
49,Bachelor's degree or equivalent (minimum 12 years) work experience.,2,01000
50,Minimum 10 years experience working with Oracle EBS; professional who has transitioned to Oracle Cloud coming from the Oracle EBS space.,0,00000
51,Excellent written and verbal communication including presentation skills,2,00111
52,Ability to work independently and manage multiple task assignments,2,00011
53,"Tool knowledge: MS Project, MS Visio, MS PowerPoint, Excel, Word",0,00000
54,Strong problem solving and troubleshooting skills with the ability to exercise mature judgment,2,00011
55,Encourage clients to evaluate business needs and recruiting strategies in new ways. Constructively challenge client perceptions and the status quo.,2,00011
56,"Customer experience comes first. You must have an innate ability to engage, support, and service your customers.",2,00011
57,Sales must be your passion. A competitive spirit and extreme focus to achieve and exceed sales goals is the CareerBuilder culture.,2,00011
58,"With growth comes change, a good candidate must thrive on change while remaining highly organized, optimistic, and coachable.",2,00111
59,"Experience with conceptual sales, solution selling and value-based selling",2,00011
60,Able to self-motivate and work independently,2,00011
61,High activity sales cycle for selling new solutions,0,00000
62,Maintain a positive attitude and strong work ethic,2,00011
63,Strong sense of initiative and desire to achieve,2,00011
64,"Excellent written, verbal, interpersonal communication, and organizational skills",2,00111
65,"Ability to effectively manage time, prioritize tasks and work within deadlines",2,00011
66,Ability to travel up to 10%,2,00010
67,3-5 years of relevant sales experience,0,00000
68,Experience working named account lists,0,00000
69,Training that positions you to hit the ground running with ongoing learning and development courses; we never stop investing in our people.,2,00011
70,"Comprehensive Medical, Dental & Vision Programs",2,00001
71,"Global Wellness initiatives to promote financial, mental and physical health and well-being",2,00011
72,"401(k) Program with a two year vesting schedule, discretionary match, and an opportunity to make Pretax and Roth contributions",2,00011
73,"Assist customers with directions, and review and resolve rental contract and vehicle issues.",2,00011
74,Manually log and release vehicles from lot during computer system outages or unavailability.,2,00011
75,Perform related responsibilities as required or assigned.,0,00000
76,High School Diploma or Equivalent,0,00000
77,Prefer 9 to 12 months car rental or sales experience,0,00000
78,High school degree or equivalent plus two years direct sales experience or experience in related field.,0,00000
79,Proficient data entry skills with knowledge of computers and using the internet.,2,00011
80,"Software including, but not limited to Microsoft Word and Excel and other office equipment.",2,00011
81,"Sales, interpersonal communication and relationships.",2,00111
82,"Accurate abilities in English, grammar and math required.",2,00011
83,Positive and effective customer-service orientation along with problem-solving and conflict management skills.,2,00011
84,Organizational and time management skills.,2,00011
85,Knowledge of correct office protocol and professionalism in a business environment.,2,00011
86,Increased knowledge of trade shows and/or marketing.,2,00011
87,"Health and Wellness Benefits (medical, dental, vision)",2,00011
88,Employee Stock Purchase Plan,0,00000
89,Employee Discount Program,0,00000
90,High school degree or equivalent plus two years direct sales experience or experience in related field.,0,00000
91,Proficient data entry skills with knowledge of computers and using the internet.,2,00011
92,"Software including, but not limited to Microsoft Word and Excel and other office equipment.",2,00011
93,"Sales, interpersonal communication and relationships.",2,00111
94,"Accurate abilities in English, grammar and math required.",2,00011
95,Positive and effective customer-service orientation along with problem-solving and conflict management skills.,2,00011
96,Organizational and time management skills.,2,00011
97,Knowledge of correct office protocol and professionalism in a business environment.,2,00011
98,Increased knowledge of trade shows and/or marketing.,2,00011
99,"Health and Wellness Benefits (medical, dental, vision)",2,00011
100,Employee Stock Purchase Plan,0,00000
101,Employee Discount Program,0,00000
102,Conducts fitness professional file audits each month.,0,00000
103,Follow-up client call for quality assurance.,2,00011
104,Conducts shadows of member experience interactions to assure a quality experience.,0,00000
105,Reassigns clientele when a trainer is termed,0,00000
106,Plans and manages the execution of hitting the old business portion of each club's monthly goal,2,00011
107,Plans and manages the execution of hitting resign expectations each month,2,00011
108,Maintain a personal book of business each week,0,00000
109,Acts as the Manager On Duty during designated time blocks,0,00000
110,Completes a thorough business review each month,0,00000
111,Attend weekly business and education meetings,2,00011
112,Attend weekly leadership meeting,0,00000
113,Attend National Leadership Calls,2,00011
114,Run weekly Cohort meetings,0,00000
115,Conducts all practical interviews,0,00000
116,Own and run weekly education meetings,2,00011
117,Onboard all new trainers within their first 6 months of hire,0,00000
118,Own the levels and education system within your location,2,00011
119,Supports and articulate Life Time Fitness mission statement,2,00011
120,Maintains Healthy Way of Life,0,00000
121,Adheres to company policies and procedures,2,00011
