jobrequirements,bias,againstgroup
Understand the Comcast Business Sales user experience and interfaces when interacting with product and associated functionality,0,00000
"Develop new customers by researching market segments, identifying target customers, and cultivating new relationships.",0,00000
Ability to maintain security over all casino assets.,0,00000
Ability and willingness to travel overnight for training and/or business meetings.,2,00010
Requires strong attention to detail and effective time management skills,2,01000
Experience in building complex iOS Apps that have been successfully delivered to customers,0,00000
Extraordinary teammate that works well in dynamic situations and startup environments,0,00000
Polished verbal and written communication skills,2,00001
Minimum of two (2) years of previous healthcare quality experience.,0,00000
Experience as a consultant considered a plus.,0,00000
"Developing layouts for emails, flyers, newsletters, announcements, office displays, ads, brochures, exhibits, presentations, landing pages, etc.",2,00001
Competence with SAP ECC Customer Master preferred,0,00000
"Review your personal Selling Area Scorecard monthly for your Associate Turnover, Sales & Star Rewards results",0,00000
Ability to work with a huge amount of information,0,00000
Achieve or exceed task-specific time standards.,0,00000
Regular office hours 8:00-5:00 Mon-Fri (no nights or weekends),0,00000
"Be knowledgeable of AAA and its benefits and any current promotions being offered, as well as all special promotions offered by GS.",0,00000
Ability to work independently and be self-motivated to achieve outstanding results,0,00000
Assists the Guest with all requests and answers questions as needed and makes recommendations.,0,00000
"Improve how data is collected, usage of data, and management of data and publish data to be utilized for internal and external use",0,00000
Communicate with international companies in English language,2,00001
Great listening ability,2,00001
"Applicants must have completed at least one year of course work in a related field of study marketing, hospitality, business and entrepreneurship.",0,00000
Drive the market penetration strategy.,0,00000
"Respond to customer inquiries and needs, as received by telephone, fax, email or in-person.",2,00001
"Assist collecting and organizing Market, Customer, Service/Maintenance and Technical (including Service news) information/data.",0,00000
Prepare business offers,0,00000
Resilient and adaptable when faced with change or conflict. Influences and leads others to achieve results. Stress tolerant.,0,00000
Monitors system operational readiness and manages local stock levels,0,00000
Ability to prioritize and work independently with minimal supervision; ability to work effectively in a team environment,0,00000
Install and configure wireless networking equipment.,0,00000
Previous events planning experience preferred.,0,00000
Arrange checking and ensure authenticity of corporate customers' documentation set,0,00000
"Assists Sales Managers and Account Executives with national business in the maintenance of contracts, order input, make goods, and overall service.",0,00000
Flexible working hours,0,00000
Normal office environment,1,11111
"Familiarity with different web development technologies (AJAX, HTML, CSS, etc",0,00000
so you can dedicate time to the community.,0,00000
Willingness to changes,0,00000
Inform customers about promotion events in accordance with the marketing standards,0,00000
"Experience with cloud computing (Google Cloud Platform, Amazon Web Services)",0,00000
Familiarity with Microsoft Team Foundation Server ALM project management tool is highly desired,0,00000
